영상 파일명,평균 속도(FPS),최저 속도(Seconds),최고 속도(Seconds),평균 사람 형태 차단율(%),최저 사람 형태 차단율(%),최고 사람 형태 차단율(%),평균 BBox 마스킹률(%),최저 BBox 마스킹률(%),최고 BBox 마스킹률(%),평균 신뢰도 점수(Conf)
result_cross_eval_20260604_155232.csv,5.15891131369985,0.1332960128784179,0.4488234519958496,98.41977082272007,0.0,100.0,99.6222851746931,0.0,100.0,0.8734468351680226
result_cross_eval_20260604_160842.csv,5.303994540011892,0.1240661144256591,0.2941441535949707,97.8160045298148,91.5245179769997,100.0,100.0,100.0,100.0,0.8600196403188796
result_cross_eval_20260604_164246.csv,3.9886617382558014,0.1124122142791748,0.5183219909667969,95.7530958262396,0.0,100.0,99.88811188811188,0.0,100.0,0.8406928326866844
result_cross_eval_20260607_125529.csv,4.983755765621678,0.1657798290252685,0.607393741607666,81.32143151691768,13.73177726439894,99.3138204842258,100.0,100.0,100.0,0.8394767145784786
result_cross_eval_20260607_131102.csv,3.8248173609123692,0.1290311813354492,0.6808691024780273,99.26969413704913,97.0228494623656,100.0,100.0,100.0,100.0,0.9064897172363745
result_cross_eval_20260607_133136.csv,4.9165061176021,0.1552817821502685,0.3142271041870117,96.64901439730177,41.83682208619864,100.0,100.0,100.0,100.0,0.7350626474650361
result_cross_eval_20260607_135124.csv,5.2192390068839645,0.1242563724517822,0.3979158401489258,98.99467527320407,95.65235743531298,100.0,100.0,100.0,100.0,0.8717952543614607
result_cross_eval_20260607_140923.csv,5.398526964936236,0.1133563518524169,0.2249186038970947,97.7459213995812,94.02050429481852,100.0,100.0,100.0,100.0,0.8544909904221092
result_cross_eval_20260607_142557.csv,5.089407223866353,0.1329925060272216,0.2379076480865478,97.41606788588334,73.1405420508522,100.0,100.0,100.0,100.0,0.9041795609593888
result_cross_eval_20260607_143857.csv,4.9727965021176335,0.1485066413879394,0.2713935375213623,97.67324968917194,75.79288025889967,100.0,100.0,100.0,100.0,0.8742660919317634
result_cross_eval_20260607_145253.csv,4.3071931066594615,0.1500751972198486,0.2960274219512939,99.5323940952257,84.14076458496787,100.0,100.0,100.0,100.0,0.8599393069330074
result_cross_eval_20260607_150737.csv,4.333955334931155,0.1740562915802002,0.3147695064544678,99.51789447938316,67.39586698735206,100.0,100.0,100.0,100.0,0.9153580653836283
result_cross_eval_20260607_152331.csv,4.9188346351950045,0.1452465057373047,0.3619875907897949,97.78506709535652,0.0,99.82735375990534,99.97220678154531,0.0,100.0,0.8789125567943007
result_cross_eval_20260607_153717.csv,4.718189140053867,0.1451969146728515,0.2596824169158935,99.05506848830612,97.2903421132304,100.0,100.0,100.0,100.0,0.8986550488262764
result_cross_eval_20260607_155221.csv,4.821913075772774,0.1342179775238037,0.3940412998199463,97.96231785349582,92.30117152399843,100.0,100.0,100.0,100.0,0.892611871987904
